date,RV,RK,BPV,RQ,TQ,RS_neg,RS_pos,Z,J_flag,C,J,signed_jump,realized_skew,realized_kurt,n_bars,r_d,close,volume,dow,is_weekend
2019-04-03 00:00:00+00:00,0.006082970489090369,0.005668072861871738,0.005475663006572652,0.00027124472479748605,0.00010047115702339306,0.004101431198397231,0.001981539290693137,1.118207745841121,0,0.006082970489090369,0.0,-0.002119891907704094,-2.7674841221766076,21.991311811031096,256,0.011519843832861199,4426.5,149.42414501000002,2,0
2019-05-10 00:00:00+00:00,0.0010396329564286517,0.0009864250803135002,0.0010014503167874655,3.178979670185077e-06,1.9506272921442856e-06,0.0004366117958293379,0.000603021160599314,0.5367623085172183,0,0.0010396329564286517,0.0,0.00016640936476997612,0.8809369687580828,8.82366332575213,253,0.03181032674310913,5653.2,158.96516480999998,4,0
2019-05-11 00:00:00+00:00,0.003256802620922172,0.005053370753724356,0.003043467320564854,2.001879067873923e-05,1.304882534955383e-05,0.0014318284918295166,0.0018249741290926554,1.1490786690176047,0,0.003256802620922172,0.0,0.00039314563726313887,-0.037240403456842014,5.66208279299301,264,0.11135503644305267,6319.1,347.09866445,5,1
2019-05-12 00:00:00+00:00,0.008708029916787534,0.0058501227113146904,0.007935816120303961,0.00016117031043113447,0.00012736644807176035,0.005087545939090294,0.0036204839776972373,1.2909087844100733,0,0.008708029916787534,0.0,-0.0014670619613930567,-0.7902325919668701,6.37626667531087,261,-0.01624106404666925,6217.3,452.80333441000005,6,1
2019-05-14 00:00:00+00:00,0.00461971454754396,0.0032141902169513584,0.004298377752516301,2.7452223089188515e-05,1.843243344587262e-05,0.002469986315520475,0.0021497282320234847,1.472720122473994,0,0.00461971454754396,0.0,-0.0003202580834969905,-0.38343984444684237,3.8589441366203796,273,0.026311889417240053,7135.5,382.0877025,1,0
2019-05-15 00:00:00+00:00,0.002812853260532834,0.0012330394000071596,0.002668640192740733,1.5114074044271475e-05,8.255057400333327e-06,0.0014678904592371014,0.0013449628012957326,1.0119229382078376,0,0.002812853260532834,0.0,-0.0001229276579413688,-0.19597864345819974,5.730712838022508,275,0.02518641402559396,7317.5,223.36801851,2,0
2019-05-16 00:00:00+00:00,0.002506120565210993,0.0024140344331636658,0.0023872589119847145,7.602802974237608e-06,6.952288706913783e-06,0.0013759752964102032,0.0011301452688007904,0.9024957199218572,0,0.002506120565210993,0.0,-0.00024583002760941285,-0.27814402540441513,3.631541989208744,269,-0.03678732503227167,7053.2,224.42294759,3,0
2019-05-17 00:00:00+00:00,0.008495008089383933,0.007320659315469276,0.009698975374784143,0.0003352456070897978,0.0007213901533049345,0.005355510216269295,0.003139497873114636,-1.0635626960460651,0,0.008495008089383933,0.0,-0.002216012343154659,-1.7036076933453685,13.93659748391377,263,-0.06417185175772744,6614.8,352.19018481,4,0
2019-05-18 00:00:00+00:00,0.0014848839182065887,0.0007452561887625854,0.0013496133131952895,2.972348446409191e-06,1.9357377067094716e-06,0.0007922113874592658,0.0006926725307473228,1.7615634524318107,0,0.0014848839182065887,0.0,-9.953885671194296e-05,-0.1628077072843793,4.04423112638843,242,-0.011953605949162949,6536.2,139.74419174,5,1
2019-05-19 00:00:00+00:00,0.00310351733501938,0.0058232869128690195,0.003018388128557493,2.1522186604988245e-05,1.9245066526599367e-05,0.0010902078494079998,0.00201330948561138,0.39369174011527897,0,0.00310351733501938,0.0,0.0009231016362033803,0.9538807092605991,6.70346422885372,265,0.11903000969776834,7362.4,233.30585516000002,6,1
