date,RV,BPV,RQ,TQ,RS_neg,RS_pos,Z,J_flag,C,J,n_bars,r_d,close
2025-03-19 00:00:00+00:00,0.0005745845612611376,0.00046053880094812545,1.1028020756680069e-06,3.8770861800158987e-07,0.00017181570146313678,0.00040276885979800077,1.8335555599190216,0,0.0005745845612611376,0.0,95,0.05081877218878539,79618.0
2025-03-20 00:00:00+00:00,0.0006347203967292459,0.0007102138964109202,4.473424522210648e-07,9.268922181215702e-07,0.0003727067525373078,0.0002620136441919381,-1.101617557507393,0,0.0006347203967292459,0.0,96,-0.026123903423625805,77565.0
2025-03-21 00:00:00+00:00,0.0002805653681419826,0.0003062646204791076,8.669188236600735e-08,1.0193316072388374e-07,0.00014978321408274495,0.0001307821540592376,-1.1032011563144344,0,0.0002805653681419826,0.0,96,0.001648868708860718,77693.0
2025-03-22 00:00:00+00:00,5.3521106269021284e-05,5.47893538967938e-05,3.3506308724989168e-09,2.9670971834719654e-09,3.0178725181681145e-05,2.3342381087340146e-05,-0.29596091444811934,0,5.3521106269021284e-05,0.0,95,-0.002577553525830112,77493.0
2025-03-23 00:00:00+00:00,0.0001470817277667297,0.0001393329249449482,3.151409191281679e-08,2.8429017851079695e-08,4.5954955733981554e-05,0.00010112677203274815,0.5466104250368056,0,0.0001470817277667297,0.0,96,0.02490252297325668,79447.0
2025-03-24 00:00:00+00:00,0.0004170429833591636,0.00040384031240582857,2.1772906329515024e-07,1.488651810760255e-07,0.00016637379094813678,0.0002506691924110268,0.3974753297144324,0,0.0004170429833591636,0.0,96,0.01961824765724174,81021.0
2025-03-25 00:00:00+00:00,0.00034726009891712764,0.0003986263431241954,1.1624196183334984e-07,2.0712640099408943e-07,0.00016655639055586155,0.00018070370836126604,-1.6266734974125765,0,0.00034726009891712764,0.0,96,0.0004442305629641652,81057.0
2025-03-26 00:00:00+00:00,0.00038667259743259115,0.00034158987838306306,5.183795543299204e-07,1.217945165874583e-07,0.00023187738612234107,0.00015479521131025006,1.4328048034688516,0,0.00038667259743259115,0.0,96,-0.0014444714450689844,80940.0
2025-03-27 00:00:00+00:00,0.0003104127205807252,0.0003193099573437659,2.0160979318428894e-07,1.6306167701003964e-07,0.00016396237066713812,0.00014645034991358716,-0.2845649091107533,0,0.0003104127205807252,0.0,96,-0.002263493795579663,80757.0
2025-03-28 00:00:00+00:00,0.0003720607546172463,0.0003749833721199005,1.7679237681036973e-07,1.352056966318351e-07,0.00024813009014895503,0.00012393066446829125,-0.09862506798919055,0,0.0003720607546172463,0.0,96,-0.03504355861723063,77976.0
2025-03-29 00:00:00+00:00,0.000359688593940058,0.0003944936538208211,2.0525215198932118e-07,3.007024313509753e-07,0.00023707207435533716,0.00012261651958472077,-0.8740101331722733,0,0.000359688593940058,0.0,96,-0.02081113813461677,76370.0
