label,fees,n_rebal,n_skip,final,ann_ret,ann_vol,sharpe,sortino,mdd,calmar
Buy-and-hold,0.0,0,0,224.1757066338339,0.21922617836019342,0.43545906175733406,0.5034369418688557,0.6938002298621201,-0.5647532649256488,0.38818045326228456
VolM daily,19.210656172136726,484,828,164.866389080955,0.11925287761019021,0.3583772020507694,0.332757990541196,0.46445519921203904,-0.5198118580229787,0.2294154620938227
VolM 14d (G3 winner),2.972510965377482,47,47,234.9036577653225,0.23519752983770315,0.37491043649290484,0.6273432450636893,0.8516365854369755,-0.5025079009758195,0.4680474264802072
VolM 22d,1.921415821372435,31,29,237.2104154069934,0.23856269190017887,0.3894244491098204,0.6126032724588962,0.8524798669813439,-0.48349624063838564,0.4934116790343436
VolM 30d,1.4369671934986379,21,23,230.5217737681577,0.22873887210739197,0.398439067872597,0.5740874591658578,0.7826669792239764,-0.519902704787644,0.43996476648610844
Threshold τ=5%,18.72484319898114,410,1,165.15924841751874,0.11980605853832493,0.358743924152954,0.3339598261383918,0.46513177485495616,-0.5209245707394075,0.22998734417205657
Threshold τ=10%,15.329271514830909,251,0,169.82707254942298,0.12852903207725297,0.355486523093807,0.3615581005959438,0.5047558801384384,-0.5118507442055473,0.25110646713378365
Threshold τ=15%,12.245214150610193,161,0,168.20997982891592,0.12552690870929095,0.3543750884722596,0.3542204652433326,0.4911872704457699,-0.5223991563748747,0.24028926382724208
Threshold τ=20%,9.241417172950507,97,0,174.92788331457194,0.13786552174303623,0.34719929243496384,0.39707892483352547,0.5530833469955728,-0.5008734086061369,0.2752502316437548
Trend MA50 only,22.967679742137953,77,0,286.21284588653646,0.30504084179519664,0.2965752614332653,1.0285444589040218,1.1351129693457032,-0.2942070161469097,1.0368238181066258
Trend MA200 only,6.8519425461592105,29,0,208.83925712210353,0.19540677775945903,0.314347071160685,0.6216274802177902,0.6876929104806366,-0.33850392205058927,0.5772659193303395
VolM 14d + MA50,5.08197512447335,42,52,147.6767788650174,0.08546172271967434,0.265694506339126,0.3216540827178153,0.31437947000125005,-0.3506960009041061,0.2436917515436479
VolM 14d + MA200,3.311643689769687,35,59,150.2416380212959,0.09067790788458474,0.2705832179977075,0.3351202212598159,0.36523617369560346,-0.33459547185084176,0.27100757635180356
VolM 22d + MA50,4.589988525903202,37,23,123.00234884894367,0.031594029023474635,0.30190322367621203,0.10464952523116776,0.10702090933086059,-0.48344159743822346,0.06535231802743634
VolM 22d + MA200,2.4187300649928174,22,38,185.85959401368194,0.15723199942972066,0.3000953401578621,0.5239401563083598,0.5767826445157169,-0.30583680812394776,0.5141042387742897
Thr 10% + MA50,25.733551327132655,185,0,234.71520665206376,0.23492156022780586,0.25745448428542816,0.9124780284167003,1.0047549810307426,-0.27914368985386323,0.8415793326755534
Thr 10% + MA200,13.31038535879368,170,0,163.02953707392098,0.11576698585583745,0.2740770551271878,0.4223884622596912,0.45841691234312176,-0.3240298012756649,0.3572726502317912
Thr 15% + MA50,23.858350110423245,149,0,226.3322980014633,0.2224804369765765,0.2581822847388452,0.861718445173798,0.9374252484036939,-0.29678636914377554,0.7496315872539207
Thr 15% + MA200,11.700729223819,123,0,163.9523253658959,0.11752173290609802,0.27572784350884133,0.42622366827574176,0.46186961888575684,-0.3255998518354389,0.3609391473725073
