asset,n_total,n_train,n_oos,bic_in_sample,oos_crps,oos_qlike,oos_rmse,oos_r2,beta_d_plus,beta_d_minus,leverage_asymmetry,gamma_saturday,gamma_monday,nu_hat,lambda_hat
BTC-EUR,2312,1549,763,4032.1652754766783,0.4799774534465002,0.646237862457965,0.8542277524982778,0.5035453963648242,0.24498593586625453,0.1488151499500061,-0.09617078591624842,-0.2741988399203857,0.22412580139649196,11.697426843372297,0.26161502645866075
ETH-EUR,2059,1379,680,3348.179024532232,0.4780454107195943,0.6399965993657305,0.8488989804054026,0.3466152668426933,0.206491210563569,0.21725460682597877,0.010763396262409769,-0.19111794545201735,0.18640520029712365,18.78005943750149,0.3344879197157706
SOL-EUR,1716,1149,567,2634.204204865523,0.406821084982311,0.505728938598908,0.7320838532671713,0.4798175730556815,0.31477474965150276,0.22150362635264595,-0.09327112329885681,-0.21642628416935308,0.15071667060399274,14.074112490273603,0.26761040102465444
