alpha,n_viol,n_exp,forecast_es_t3,realized_es,z1,verdict
0.01,30,13,-0.08992651710314543,-0.05840225550675093,1.729052320314298,✓ conservatief
0.05,126,65,-0.0497494363736366,-0.03911891927975647,1.825438094402335,✓ conservatief
