final,ann_return_pct,sharpe,mdd_pct,fees_pct,n_trades,n_skips,name,n_filters
39110.51768266832,45.80293157991739,1.3033201455238779,-23.631603615453567,22.15548486405497,63,356,Baseline (weekend skip only),1
30789.241126770772,36.470856157945875,1.0901805130420446,-25.684393646493376,18.097897579324112,61,471,Baseline + A (high-vol regime gate),2
39243.9044214998,45.94025280087437,1.3139023186384293,-23.94862327376628,19.535195906393376,51,526,Baseline + B (multi-horizon mismatch),2
38868.85592308404,45.553276068657624,1.2973228871017548,-23.631603615453557,22.027709047831173,63,379,Baseline + C (semivariance asymmetry),2
40501.41645405417,47.21854615045078,1.335831860207795,-23.631603615453567,21.055284049200864,57,423,Baseline + D (post-jump filter),2
32022.25123487519,37.96056120466871,1.1340737556815812,-28.023898929111503,16.37470281582495,49,602,Baseline + A + B (vol + horizon),3
30598.996082015074,36.23717977711478,1.0841124703218672,-25.684393646493408,17.994654738236797,61,493,Baseline + A + C (vol + asymmetry),3
31884.207907895918,37.79586471804104,1.1232680736471594,-24.56041319236315,17.18948046766136,55,537,Baseline + A + D (vol + post-jump),3
34370.94217087472,40.687105331681074,1.20571738702538,-23.900003916425007,15.797337821403609,47,673,Baseline + ALLE filters,5
