freq,sharpe,ann_return_pct,mdd_pct,fees_pct,n_trades,final
1d,1.168854589405621,41.294612687177604,-25.094150699955087,26.229562788221404,75,34910.768003938414
4h,0.9456489283550765,32.333882214191824,-30.985685872554058,63.14166891425539,199,27545.319045495653
1h,0.6756937528980697,22.96512883304036,-41.071125548545886,103.62106298175549,379,21121.002486322726
30m,0.4163457745532023,13.814725779475445,-47.896063067139806,124.22125925407117,543,15968.091300508264
15m,0.05036864276226915,1.5939973511758243,-56.61417634190884,144.20156530779792,777,10588.627668306654
5m,-0.7706044561143173,-22.415559508269013,-76.33318782737422,160.28316660316017,1435,3993.4459921251137
1m,-2.74943174193663,-65.06325118968725,-98.18680131658003,122.57655200963285,3349,222.94070272957336
