date,r_actual,sigma_ret,es_norm_01,es_t3_01,es_t5_01,es_norm_05,es_t3_05,es_t5_05,var_return_01,viol_return_01,var_return_05,viol_return_05
2022-10-01,-0.00531229905286601,0.023384116943592645,-0.06232368100829246,-0.09454739352421582,-0.08064800211632023,-0.04823471751179994,-0.05230581245608623,-0.05234965442949185,-0.05202133364411385,0,-0.026961707965382622,0
2022-10-02,-0.013534079570019841,0.02871202902405535,-0.0765237080498939,-0.11608937440589963,-0.09902310115372306,-0.0592246699974439,-0.06422333624949843,-0.06427716731850695,-0.06387404087410398,0,-0.0331047498397105,0
2022-10-03,0.02648691041390272,0.022922159714313713,-0.06109246603162671,-0.09267959359602741,-0.07905478704241319,-0.04728183241844564,-0.051272502185885166,-0.051315478053608476,-0.050993643301493724,0,-0.026429074813642907,0
2022-10-04,0.0206662953872776,0.026551565574614095,-0.0707656101419057,-0.10735412096692051,-0.09157201539055027,-0.05476825437012974,-0.05939079130981588,-0.059440571809742715,-0.05906777899128817,0,-0.030613752008394963,0
2022-10-05,-0.0018165309263977747,0.02206929519827607,-0.05881939939545483,-0.08923126509103567,-0.07611339654816214,-0.045522617858146174,-0.049364806824374455,-0.04940618368951319,-0.04909632343908272,0,-0.025445728550411655,0
2022-10-06,0.00269905696916517,0.021868303342454678,-0.05828371304314597,-0.08841860852874822,-0.07542020844733509,-0.04510802938293871,-0.04891522635310183,-0.048956226386409854,-0.048649188128536004,0,-0.025213986478083313,0
2022-10-07,-0.01650398168041356,0.01714905798516922,-0.045705913207607834,-0.06933760799283295,-0.059144301579443816,-0.035373581542696035,-0.03835917400407074,-0.03839132610739501,-0.03815054762515577,0,-0.019772732679744682,0
2022-10-08,-0.005996719784430837,0.01718796894487296,-0.045809619250737545,-0.06949493400297858,-0.05927849912763882,-0.03545384367762934,-0.03844621040427605,-0.03847843546024867,-0.03823711065518354,0,-0.019817596718644068,0
2022-10-09,0.0008517247940922346,0.020667345693440742,-0.05508290363896096,-0.0835628589735635,-0.07127830156015517,-0.04263079865904365,-0.046228913001669626,-0.04626766140608627,-0.04597748499334778,0,-0.023829291495176184,0
2022-10-10,-0.012700503343886282,0.018675801668889946,-0.04977501218428346,-0.07551058584029907,-0.06440979131903074,-0.03852281529288784,-0.041774208618456384,-0.04180922315426593,-0.041547008682524936,0,-0.02153305646865515,0
