family,n_test,mean_crps,median_crps,mean_qlike,median_qlike,rmse_logrk,mae_logrk,r2_oos,rate_logrk_01,p_kupiec_logrk_01,rate_return_01,p_kupiec_return_01,p_cc_logrk_01,p_cc_return_01,rate_logrk_05,p_kupiec_logrk_05,rate_return_05,p_kupiec_return_05,p_cc_logrk_05,p_cc_return_05,rate_logrk_95,p_kupiec_logrk_95,rate_return_95,p_kupiec_return_95,p_cc_logrk_95,p_cc_return_95,rate_logrk_99,p_kupiec_logrk_99,rate_return_99,p_kupiec_return_99,p_cc_logrk_99,p_cc_return_99,fit_time_s
HAR-RS-DOW,1312,0.4980759052538126,0.354339326568748,0.5946933419162354,0.17003364480702754,0.8893732831972754,0.6965525037150813,0.4392635818044386,0.014481707317073171,0.1262430993521566,0.022865853658536585,6.05969732093703e-05,0.17158091079934823,0.0003011191491495424,0.06783536585365854,0.004827671436316794,0.09603658536585366,8.454792421730417e-12,0.0026921159232786707,8.907319326567631e-12,0.052591463414634144,0.6692039058585357,0.11356707317073171,0.0,0.8556166845293605,0.0,0.008384146341463415,0.5451251349080066,0.03048780487804878,1.994058473897553e-09,0.7587070220402827,1.5044663292940186e-08,22.4
HAR-RS-Q-WE-X,1312,0.5820582297939263,0.4108908512719618,0.7250398673986378,0.2263944012878374,1.0309875107173925,0.8164263717759328,0.2464754372764677,0.024390243902439025,9.657229679049806e-06,0.01524390243902439,0.07638038564290439,2.517309903038445e-05,0.12401709622805523,0.07393292682926829,0.00019506659856982633,0.09527439024390244,1.724120846091637e-11,0.0009188755956933692,2.739619642255775e-11,0.06097560975609756,0.07737657823772237,0.125,0.0,0.13180819954669043,0.0,0.010670731707317074,0.8091333141934138,0.022865853658536585,6.05969732093703e-05,0.8350257511275139,0.00013269064382814832,38.0
HAR-RS-X,1312,0.586798022205424,0.4114568089435235,0.7415333030623582,0.22218202267943854,1.0399327010449924,0.8212827032493142,0.23334305376141806,0.022103658536585365,0.00014484133936609744,0.01600609756097561,0.04432709662745138,0.0006694147757965174,0.08461601077487702,0.07393292682926829,0.00019506659856982633,0.09603658536585366,8.454792421730417e-12,0.0005387437063543166,1.5362711103250604e-11,0.06021341463414634,0.09957216819551884,0.12957317073170732,0.0,0.21727108188840794,0.0,0.009908536585365854,0.973398037694737,0.024390243902439025,9.657229679049806e-06,0.8774296574455397,7.727497658982507e-06,20.6
HAR-RS-WE,1312,0.5883362911377955,0.40624599560582697,0.7475520198646232,0.21901341531394347,1.0433406573377262,0.8197890489254704,0.22831000797503287,0.026676829268292682,4.918851446156225e-07,0.01600609756097561,0.04432709662745138,1.968521308848281e-06,0.08461601077487702,0.06935975609756098,0.0023080789875685737,0.09908536585365854,4.4919623576333834e-13,0.0008542941488197675,1.362243651215067e-13,0.057164634146341466,0.24389591084100848,0.12728658536585366,0.0,0.22218261652947757,0.0,0.007621951219512195,0.3662246560597443,0.023628048780487805,2.4565007436416764e-05,0.6156466906825606,6.16606863093061e-05,11.0
HAR-WE,1312,0.589196284810766,0.41265798428616,0.6852219594349301,0.23185236383076402,1.0452629393822086,0.825634335188245,0.22546381897479872,0.021341463414634148,0.0003351684907803021,0.008384146341463415,0.5451251349080066,0.0008738997934131243,0.17619653340080332,0.07164634146341463,0.0007037670573214472,0.08917682926829268,3.7653564710637966e-09,0.003197463153291724,8.160117026534408e-10,0.04801829268292683,0.7403062137735159,0.11509146341463415,0.0,0.9464220705797137,0.0,0.008384146341463415,0.5451251349080066,0.01524390243902439,0.07638038564290439,0.7587070220402827,0.1525911701042022,8.8
