,HAR-RS-DOW,HAR-RS-Q-WE-X,HAR-RS-X,HAR-RS-WE,HAR-WE
HAR-RS-DOW,0.0,-4.11995486089651,-4.792844089351268,-5.381417366417754,-3.1061323320561955
HAR-RS-Q-WE-X,4.11995486089651,0.0,-1.3959341014043012,-1.3040725015337131,2.245290727190047
HAR-RS-X,4.792844089351268,1.3959341014043012,0.0,-0.4787836968565133,2.8136432289140942
HAR-RS-WE,5.381417366417754,1.3040725015337131,0.4787836968565133,0.0,3.468284998593516
HAR-WE,3.1061323320561955,-2.245290727190047,-2.8136432289140942,-3.468284998593516,0.0
