family,param,beta,se_hac,t_stat,p_value
HAR,const,-2.7120797045809732,0.9480218427104363,-2.8607776555306126,0.004226033199623986
HAR,log_RV_D,0.39130474160653383,0.03640098565509423,10.749839175076614,5.936503430424374e-27
HAR,log_RV_W,-0.0779637249810021,0.11372370928088577,-0.685553834587296,0.4929945017273891
HAR,log_RV_M,0.3525641119174553,0.16304734466007623,2.162341942167085,0.03059182908126573
HAR-Q,const,-2.7027042952870053,0.9548616345308827,-2.830466946778971,0.0046480113483814605
HAR-Q,log_RV_D,0.3978186679918249,0.03400753658540634,11.697956039619198,1.3056041564495101e-31
HAR-Q,log_RV_D_Q,0.004320388084363753,0.015748602793219137,0.27433469121616166,0.7838274270207304
HAR-Q,log_RV_W,-0.0818501570331916,0.1135085969168377,-0.7210921397712217,0.4708528267932348
HAR-Q,log_RV_M,0.3511356899704832,0.162148581316807,2.1655181138121207,0.030348029749147735
HAR-J,const,-2.7016033662338996,0.9383682476285649,-2.8790438860877545,0.003988828225010504
HAR-J,log_RV_D,0.3965163956731468,0.0361804391934661,10.959413553629679,5.988617258941041e-28
HAR-J,log_RV_W,-0.07974306528443505,0.11246443423221889,-0.709051406596506,0.47829257650892076
HAR-J,log_RV_M,0.34993953692923113,0.1608758452372487,2.1752149081993273,0.02961401551384528
HAR-J,log_J_D,-713.0661049031619,890.812357820617,-0.8004672349266535,0.4234401397412211
HAR-CJ,const,-2.715001191488244,0.9154468761500392,-2.9657659687543276,0.003019301501179449
HAR-CJ,log_C_D,0.3877554624099299,0.03386459626292321,11.450172309730608,2.3467855864939104e-30
HAR-CJ,log_C_W,-0.07147908050016304,0.11994859662628954,-0.5959142708677321,0.5512324991221498
HAR-CJ,log_C_M,0.3438181652673218,0.16335621702810668,2.1047142956803735,0.03531618532575589
HAR-CJ,log_J_D,429.1908868989362,1207.0846010303035,0.3555599056873077,0.7221701744776587
HAR-CJ,log_J_W,-1816.828509076114,3483.3150053797813,-0.5215803067681579,0.6019625778386073
HAR-CJ,log_J_M,-5329.964723204872,6940.804811212471,-0.7679173911640075,0.4425362645703008
HAR-CJ-Q,const,-2.71581622086488,0.9199386739470264,-2.952170941148265,0.0031554819179293032
HAR-CJ-Q,log_C_D,0.38714894277575046,0.031972975852993385,12.108630255619596,9.506846207469324e-34
HAR-CJ-Q,log_C_D_Q,-0.0004912588339690596,0.017114147367304135,-0.028704838367092075,0.9770999975003059
HAR-CJ-Q,log_C_W,-0.07109651149863598,0.12035783943344637,-0.5907094364048454,0.5547151241792823
HAR-CJ-Q,log_C_M,0.34393637420768314,0.16273773240679099,2.1134396376370477,0.034563156356454565
HAR-CJ-Q,log_J_D,413.76026136026235,1314.873526506425,0.3146768514380311,0.753007021880681
HAR-CJ-Q,log_J_W,-1812.5104802455407,3483.0990686524574,-0.5203729335630886,0.6028036711927769
HAR-CJ-Q,log_J_M,-5320.444641099883,6946.672378894026,-0.7658983108610263,0.4437368110628763
HAR-RS,const,-2.5051503586028225,0.964927201775172,-2.5962065884287533,0.009425937250848272
HAR-RS,log_RS_neg_D,0.30507644666171724,0.10309234679831926,2.9592540681855053,0.0030838473768160586
HAR-RS,log_RS_pos_D,0.09130224272607229,0.0987872834473015,0.9242307262632428,0.35536620122731155
HAR-RS,log_RV_W,-0.09552432642070276,0.11504464821350525,-0.8303239473028265,0.4063556520503431
HAR-RS,log_RV_M,0.3553406684438375,0.16211774783246738,2.1918677824900876,0.028389054997722325
HAR-RS-Q,const,-2.4736755357244955,0.9652886077848575,-2.562627918505204,0.010388331175524795
HAR-RS-Q,log_RS_neg_D,0.24648039599652433,0.1090064714737244,2.2611537889834135,0.023749735530782926
HAR-RS-Q,log_RS_neg_D_Q,0.17441125465448473,0.09152926727860275,1.9055244277614545,0.05671193519857868
HAR-RS-Q,log_RS_pos_D,0.15454245238088046,0.10675077300759943,1.4476939887815035,0.14770265184797396
HAR-RS-Q,log_RS_pos_D_Q,-0.17452641500528326,0.09098967740545921,-1.9180902711367565,0.05509956586341667
HAR-RS-Q,log_RV_W,-0.10001848999289707,0.11261632632113555,-0.8881349024624137,0.37446819022609645
HAR-RS-Q,log_RV_M,0.358524072779844,0.1577412783859714,2.2728614630761674,0.023034529747115975
