date,rv_1m,tsrv_1m,rk_1m,rv_2m,tsrv_2m,rk_2m,rv_5m,tsrv_5m,rk_5m,rv_10m,tsrv_10m,rk_10m,rv_15m,tsrv_15m,rk_15m,rv_30m,tsrv_30m,rk_30m,rv_60m,tsrv_60m,rk_60m
2020-10-21 00:00:00+00:00,0.0016372086249817727,0.0018845551326182619,0.0016169745597263345,0.002096244094645696,0.0018387919961708832,0.0017033909107485095,0.002017423253511254,0.0015165787674978576,0.001862838194755737,0.0023732146753406027,0.0014298970778075576,0.002083322118487047,0.0014209734743245287,0.001375921036941948,0.002213499201208833,0.001310990210140126,0.001481820386614968,0.0023118139575101274,0.0015031471188935428,,
2020-11-06 00:00:00+00:00,0.0019348299848187757,0.002140558221298504,0.0018982363890285541,0.0020929872834585046,0.0018770463911485713,0.001889674074944967,0.0021453946401001874,0.0017827079080546262,0.0014243916331565497,0.0019411188692405501,0.0018098906126258816,0.0007681894293854077,0.0019400481717529265,0.0014907518969825024,0.0004065445932545378,0.0017171851838064084,0.0007323316291166824,0.00017525143776182995,0.0018383275261790184,,
2020-11-13 00:00:00+00:00,0.000628679594066502,0.0006517181239988504,0.0005063414706911877,0.0006039949795685518,0.0006355887779365399,0.0004615953567480477,0.0006399181798501631,0.0005683581277417643,0.0003744236509291945,0.0006254436169314846,0.0004362306840697673,0.00029355839994403343,0.000695135106986557,0.0004245552054881318,0.0002328532668639818,0.0005995579090293012,0.000269822547654756,0.00015027440318669057,0.0005936874977485468,,
2020-11-17 00:00:00+00:00,0.001168618811395645,0.0011563791968742204,0.000995468788991086,0.0010989625034690514,0.0009518258488697798,0.0010977816462671036,0.0010113585937134172,0.0009380046404788965,0.0013242413855525357,0.001001981114937278,0.0010459669547321752,0.0015374040062839482,0.0008588217869563619,0.0012353111289415979,0.0016401183881758672,0.0010476175438801397,0.0013996672847320264,0.0019240255024118853,0.0009372953895769035,,
2020-11-18 00:00:00+00:00,0.01600222468421181,0.004646819319246385,0.003886918061222444,0.010353833160814662,0.003212804066084389,0.0033398317167942448,0.006232770691715075,0.004033646152806583,0.0022680400824541666,0.004376381350257438,0.003418816409435704,0.0011702930058767294,0.0035112060188439787,0.0031055209879977392,0.0007757283871871757,0.0041863648765872175,0.0014338675979795924,0.0006707966143954335,0.004742463299583907,,
2020-11-19 00:00:00+00:00,0.0012581487808220235,0.001244227253694206,0.001105053266540623,0.0012681463603905615,0.0012840277024144637,0.0009699050513229656,0.0012753192182358658,0.001085096317894984,0.0007768861643396139,0.0011676969267666577,0.0009742240102432013,0.0008479355241817843,0.0010809298598079,0.0007730441968049461,0.0008517014285283552,0.00097812437446252,0.0007620794645610383,0.0007379868085226733,0.0007470894802711936,,
2020-11-20 00:00:00+00:00,0.0011292164833271636,0.0010854807271853948,0.0007816112362465812,0.0011806464609133466,0.0008931478849216081,0.0007861302682809997,0.001091212790612753,0.0008146292245339925,0.000865829491091671,0.001110083037806197,0.0007966079833875005,0.0008805219444194253,0.0009541025380249392,0.0008278728066700253,0.0008743731517754988,0.0009183813804705291,0.000799898633178356,0.0008733896137690763,0.0009246925434141588,,
2020-11-21 00:00:00+00:00,0.0008891802897609649,0.0007170417556362273,0.0005033050506129112,0.0007932732669697913,0.0007054676453989349,0.0004502925063474859,0.0007204457311692294,0.0005878623865807258,0.0003994797559110475,0.0006564586758315024,0.00041073716523344113,0.0002850992471597671,0.0007087800667810939,0.00048272660355160203,0.0001932678998601378,0.0005530738805859467,0.00015673082026854056,7.943748013866554e-05,0.0005017107554808158,,
2020-11-22 00:00:00+00:00,0.001272744023073364,0.001435513636832652,0.0014832318009128946,0.0013014156387877365,0.0014308806335904779,0.0014508993137473014,0.001441942633113994,0.001505343991660887,0.0013442040576612958,0.0015554205100887144,0.0013667753023746292,0.001225052396829833,0.0015607617917954744,0.0015088432968264958,0.001285037762964106,0.002373152082126009,0.001093008308863991,0.001357729440390316,0.002756159177323427,,
2020-11-23 00:00:00+00:00,0.0016014798074559463,0.0013172926973107543,0.0008979462440320772,0.0014851806188626545,0.0013129102874956133,0.000752463570166918,0.0013951223414674582,0.0009285204814365903,0.0006055732403295172,0.0013779084452984062,0.0007686569854187702,0.00044866174849659136,0.0012919671721436637,0.0004563970020128659,0.00039613206357978846,0.0008628374651438071,0.00030618795825158293,0.0003671351018975078,0.0011620567023497457,,
