family,param,beta,se_hac,t,p
HAR,const,-0.9072989006574048,0.20377621170477447,-4.45242795057882,8.490473396963912e-06
HAR,log_RK_D,0.3048440326398532,0.02308702081005594,13.204130370388599,8.30533141028644e-40
HAR,log_RK_W,0.17575029865565783,0.05098808100800077,3.4468898452577585,0.0005670797479822466
HAR,log_RK_M,0.40139096331554375,0.055884383408699154,7.18252468458052,6.84357000859748e-13
HAR-CJ,const,-0.4129905968815386,0.29580433566303693,-1.3961614049903361,0.16266589606678616
HAR-CJ,log_C_D,0.4524120672281538,0.028952307780010404,15.626114182874,4.833973136436627e-55
HAR-CJ,log_C_W,0.12093623031041006,0.05393941632752391,2.2420752493144684,0.024956509337068666
HAR-CJ,log_C_M,0.4140242360828167,0.06676260515111566,6.201439191081326,5.594913807697888e-10
HAR-CJ,log_J_D,-109.79716483461391,70.5375392203443,-1.5565777605542896,0.11957076733112597
HAR-CJ,log_J_W,-114.27722830914831,267.11868631858175,-0.42781442917420776,0.6687862308901695
HAR-CJ,log_J_M,13.399708778199198,455.5422698349806,0.029414852727175506,0.9765337271672851
HAR-RS,const,-0.27527606031586943,0.22071945387375372,-1.2471762478776374,0.21233288004604334
HAR-RS,log_RS_neg_D,0.25859578765046487,0.05957907242098803,4.340379551786524,1.4223681810057337e-05
HAR-RS,log_RS_pos_D,0.1921537129426084,0.06300529124483205,3.049802788720061,0.002289916770165203
HAR-RS,log_RK_W,0.08606356619134477,0.054359188390078285,1.5832386159586813,0.1133670879658322
HAR-RS,log_RK_M,0.4071283220304412,0.054775055833287664,7.4327322142686505,1.0637712271831974e-13
HAR-Q,const,-0.8512066895821114,0.20538478886294456,-4.144448546041697,3.4063242671717786e-05
HAR-Q,log_RK_D,0.3170375684717144,0.024234988255230065,13.081812342256681,4.1834527381700634e-39
HAR-Q,log_RK_D_Q,-0.0017988190235980611,0.0008310150225357743,-2.1646047000559774,0.03041797076727323
HAR-Q,log_RK_W,0.16829959792443444,0.050404222347905016,3.338998006214247,0.0008408116779265263
HAR-Q,log_RK_M,0.4041704780563726,0.0552252333633198,7.318583434449001,2.506021921208954e-13
HAR-RS-Q,const,-0.34635285157519363,0.21466852601617614,-1.6134309859149754,0.10665090576964996
HAR-RS-Q,log_RS_neg_D,0.29271426554934943,0.059726046229675804,4.900948313633891,9.537514852246223e-07
HAR-RS-Q,log_RS_neg_D_Q,-0.013038571151569388,0.016003742904230726,-0.8147201082643317,0.4152325405281192
HAR-RS-Q,log_RS_pos_D,0.1809746654325481,0.062219511617630466,2.9086481190133173,0.003629951767023634
HAR-RS-Q,log_RS_pos_D_Q,0.017034654291493645,0.01569539313855941,1.0853282960873423,0.27777627774849256
HAR-RS-Q,log_RK_W,0.05756213501277038,0.05263406460930812,1.0936289157989663,0.2741177619568629
HAR-RS-Q,log_RK_M,0.4022582659176258,0.05484080879073638,7.335017020857188,2.2169330965638389e-13
HAR-WE,const,-0.9476024311187263,0.19253702313724272,-4.921663458166504,8.581168677668867e-07
HAR-WE,log_RK_D,0.39340309811651986,0.029472853854933322,13.347981164391719,1.217026551814488e-40
HAR-WE,log_RK_W,0.09823279934741216,0.05407751346008378,1.816518420728067,0.06929088484796715
HAR-WE,log_RK_M,0.3987684830613323,0.05353174988116244,7.449195737979359,9.391095372511419e-14
HAR-WE,is_weekend,0.37795294645239325,0.05241874578877456,7.210263060764258,5.58438877708482e-13
HAR-RS-WE,const,-0.1458571267367889,0.21767679617275756,-0.6700628146926165,0.5028177482824936
HAR-RS-WE,log_RS_neg_D,0.3102463699006914,0.059762876484930456,5.1912891103714145,2.0884304444116802e-07
HAR-RS-WE,log_RS_pos_D,0.2648254645463231,0.06349585209398285,4.170752195818144,3.035958594207405e-05
HAR-RS-WE,log_RK_W,-0.011475105629570354,0.06119619053059997,-0.1875133979758503,0.8512581199322227
HAR-RS-WE,log_RK_M,0.40607288888143633,0.052620617436076,7.7169920967715235,1.1910703428846032e-14
HAR-RS-WE,is_weekend,0.40118432717593655,0.05444996200499723,7.367945034362324,1.7327819750440032e-13
HAR-RS-DOW,const,-0.15759777372142547,0.19047889956404523,-0.8273765444998067,0.4080236708018815
HAR-RS-DOW,log_RS_neg_D,0.21737172778000932,0.05848468074755994,3.716729321277493,0.00020181845994432174
HAR-RS-DOW,log_RS_pos_D,0.16119286278205186,0.06025062592691989,2.6753724181648897,0.0074646278412875315
HAR-RS-DOW,log_RK_W,0.3217653971397062,0.04801881333285525,6.700819424863819,2.072540247262839e-11
