density,lr_stat,p_value,df,mu_hat,rho_hat,sigma_hat,mean_z,std_z,pit_mean,pit_std
Normal,6.249281245685779,0.10009233422784991,3,0.04585214647490543,0.012494384204155783,1.0351663914384606,0.04620846459036867,1.034880322771466,0.5115816165780643,0.26848854486560436
Student-t (ν=3),846.9208457126101,0.0,3,0.02261653144419075,0.005660178843680794,0.4969515204851858,0.022632460309524646,0.49678587323370993,0.5078390966936726,0.17313490390391656
Hansen skewed-t,7.221788846127765,0.06515472371217146,3,0.05825949600281072,0.011797183927647538,1.0308700654785463,0.05879082013065634,1.0305629095826931,0.5287979688729417,0.27379103367390184
