date,selected,trailing_sharpe,sh_buy_and_hold,sh_pure_trend,sh_har_voltarget_trend,sh_atr_stop_trend
2023-03-30,pure_trend,2.2584819184900082,0.8142060608241076,2.2584819184900082,2.01693916591096,2.2349788156494297
2023-06-28,buy_and_hold,2.2243506559916235,2.2243506559916235,1.5049069290831827,1.079321674360869,1.5838409659192962
2023-09-27,buy_and_hold,-0.3840272312678391,-0.3840272312678391,-1.5998706166609984,-2.0009555373266523,-1.803097397070525
2023-12-27,pure_trend,2.2710682588195144,1.8171553222292551,2.2710682588195144,1.9212585544775782,1.8513619110797719
2024-03-27,har_voltarget_trend,3.6776315081032473,3.519415772543413,3.3796803668333992,3.6776315081032473,2.7595697551182243
2024-06-25,buy_and_hold,1.1973948979829478,1.1973948979829478,1.0887682539495445,1.0624870949133032,0.36698365474982647
2024-09-23,buy_and_hold,-0.7612119353025331,-0.7612119353025331,-2.1034168439159844,-2.363148853322323,-2.4394152171151022
2024-12-23,pure_trend,1.8154934790897643,1.4753673877111493,1.8154934790897643,1.4173867584314592,1.4211081799493304
2025-03-25,pure_trend,1.8856910728454346,0.9081411407228541,1.8856910728454346,1.2060074160306207,1.4250110954758888
2025-06-24,buy_and_hold,-0.6941235157908417,-0.6941235157908417,-0.8277674007532599,-1.1094849023880569,-1.3138431354155342
2025-09-24,buy_and_hold,0.7269675246932684,0.7269675246932684,-0.3951164666915626,-0.6284754659552595,-0.6415411409334125
2025-12-24,pure_trend,-1.0424001558525686,-1.5458931778579075,-1.0424001558525686,-1.1231092700145695,-1.1072025765851412
2026-03-24,atr_stop_trend,-1.0868490893705174,-2.1860792325157483,-1.5700242347185405,-1.4776657289456554,-1.0868490893705174
