density,alpha,forecast_es,realized_es,z1
Normal,0.01,-0.05927769510312026,-0.05840225550675093,2.106000087179175
Normal,0.05,-0.04587731070745286,-0.03911891927975647,1.8951065205130626
Student-t(ν=3),0.01,-0.08992651710314543,-0.05840225550675093,1.729052320314298
Student-t(ν=3),0.05,-0.04974943637363659,-0.03911891927975647,1.8254380944023352
"Hansen skewed-t (ν=4.4, λ=+0.01)",0.01,-0.07862829792637711,-0.05840225550675093,1.8338109520470502
"Hansen skewed-t (ν=4.4, λ=+0.01)",0.05,-0.05058819161939402,-0.03911891927975647,1.8117522813782825
