sigma_model,avg_premium,avg_payoff,avg_edge,mape,sharpe_per_straddle,hit_rate
Constant σ,11.159678472721577,10.299898268488535,0.8597802042330431,7.256337943988091,0.0874176143005319,0.6636015325670498
Rolling 30d σ,10.585160263388854,10.299898268488535,0.2852619949003187,7.513517600150842,0.027140821153869753,0.6298850574712643
HAR-RS-DOW σ,10.503852784777319,10.299898268488535,0.2039545162887827,7.496896853432195,0.019179112465052772,0.6
