n,tot_ret,ann_ret,ann_vol,sharpe,sortino,mdd,calmar,strategy,model,target_vol,threshold,fee_label,fee_rate,avg_turnover,avg_weight,pct_invested
1312,0.740471917887362,0.16668565649245481,0.2916780314195241,0.6742749875935334,0.9972791135822479,-0.38954475381700826,0.42789860435588545,vol-managed,HAR-RS-DOW,0.25,0.0,maker_15bps,0.0015,0.12391923936096144,0.7489178441558277,1.0
1312,0.6046035619107317,0.14060050368494448,0.2916810248619595,0.5967338462133553,0.8814585615422418,-0.403575480477992,0.34838713075040684,vol-managed,HAR-RS-DOW,0.25,0.0,blend_20bps,0.002,0.12391923936096144,0.7489178441558277,1.0
1312,0.4793260594345825,0.11509530310932603,0.2916892688875057,0.5191849505727283,0.7659965520815892,-0.4172855307421804,0.27581906064324474,vol-managed,HAR-RS-DOW,0.25,0.0,taker_25bps,0.0025,0.12391923936096144,0.7489178441558277,1.0
1312,0.7246958714593248,0.16373397267358047,0.2916589783094225,0.6656294908083502,0.9810481854975245,-0.39419719619673615,0.41536057144319216,vol-managed,HAR-RS-DOW,0.25,0.05,maker_15bps,0.0015,0.11817154851711885,0.7475371074919083,1.0
1312,0.5960487265927921,0.13890548738341257,0.29167067369603317,0.5916621902044773,0.8709127731201054,-0.40723490848812754,0.3410942541716367,vol-managed,HAR-RS-DOW,0.25,0.05,blend_20bps,0.002,0.11817154851711885,0.7475371074919083,1.0
1312,0.4769819583567543,0.11460345392163607,0.2916880586983332,0.5176907230515263,0.7611573101259709,-0.41999382576888616,0.2728693778100918,vol-managed,HAR-RS-DOW,0.25,0.05,taker_25bps,0.0025,0.11817154851711885,0.7475371074919083,1.0
1312,0.8013617664886552,0.17790019427239034,0.2946949061347642,0.7028294616089594,1.0316350419030063,-0.3813360441026509,0.4665181721571063,vol-managed,HAR-RS-DOW,0.25,0.1,maker_15bps,0.0015,0.1067448596290719,0.7455251803685905,1.0
1312,0.6795332893613635,0.15517491015078266,0.2947110669152591,0.636689104685869,0.9336164037396112,-0.3933337120670244,0.3945121035654852,vol-managed,HAR-RS-DOW,0.25,0.1,blend_20bps,0.002,0.1067448596290719,0.7455251803685905,1.0
1312,0.5659277877467148,0.13288475609932204,0.2947336152508845,0.5705436358518093,0.8358240649656485,-0.4051005676028122,0.3280290543300625,vol-managed,HAR-RS-DOW,0.25,0.1,taker_25bps,0.0025,0.1067448596290719,0.7455251803685905,1.0
1312,1.1839639177311767,0.24273491570414985,0.3654516704171751,0.7770411524899895,1.1602196786124803,-0.4487036300559006,0.5409693602744184,vol-managed,HAR-RS-DOW,0.35,0.0,maker_15bps,0.0015,0.0719732887934456,0.89505763731008,1.0
1312,1.0832337908246141,0.22651624140947013,0.365462517490174,0.7410769887306746,1.1056730723601487,-0.45534419970280887,0.49746157205321007,vol-managed,HAR-RS-DOW,0.35,0.0,blend_20bps,0.002,0.0719732887934456,0.89505763731008,1.0
1312,0.9871390300474332,0.21050744221105866,0.3654761090043477,0.7051096649047457,1.0511218018553332,-0.46190549457452046,0.4557370386012954,vol-managed,HAR-RS-DOW,0.35,0.0,taker_25bps,0.0025,0.0719732887934456,0.89505763731008,1.0
1312,1.1615400709727197,0.23917189766485114,0.3651421511495091,0.7695300401643915,1.1464511295547528,-0.4513771779817228,0.5298714895916509,vol-managed,HAR-RS-DOW,0.35,0.05,maker_15bps,0.0015,0.0681229331007282,0.8922596453573948,1.0
1312,1.0670517706964002,0.2238582823579296,0.3651547557573577,0.735456446108466,1.0948006936045223,-0.4575293556738047,0.48927632638621166,vol-managed,HAR-RS-DOW,0.35,0.05,blend_20bps,0.002,0.0681229331007282,0.8922596453573948,1.0
1312,0.976683366497181,0.20873212383699258,0.36517024182368485,0.7013796698737903,1.043219469707713,-0.4636132457890435,0.45022899093778546,vol-managed,HAR-RS-DOW,0.35,0.05,taker_25bps,0.0025,0.0681229331007282,0.8922596453573948,1.0
1312,1.1239460005355983,0.2331380895597137,0.3638308178908551,0.7576007566093805,1.121572470349722,-0.4520402886877314,0.5157462628751772,vol-managed,HAR-RS-DOW,0.35,0.1,maker_15bps,0.0015,0.06022072502219433,0.8820225261235042,1.0
1312,1.04163837372286,0.21965355426516786,0.3638491832805712,0.7273569180758492,1.0760634526672228,-0.4573608314344755,0.4802631514732955,vol-managed,HAR-RS-DOW,0.35,0.1,blend_20bps,0.002,0.06022072502219433,0.8820225261235042,1.0
1312,0.9625099192342579,0.20631469046388706,0.36387068939330836,0.697110115414219,1.0305452547285023,-0.46263043023499273,0.4459600514369314,vol-managed,HAR-RS-DOW,0.35,0.1,taker_25bps,0.0025,0.06022072502219433,0.8820225261235042,1.0
1312,1.4608229557492924,0.28469204734408016,0.4103931074022032,0.815191622489044,1.2096688425751971,-0.5017119993178353,0.5674411768727248,vol-managed,HAR-RS-DOW,0.45,0.0,maker_15bps,0.0015,0.03387198913289744,0.961703957108424,1.0
1312,1.406708657780758,0.27676946757056964,0.410404191021525,0.8001072899558823,1.186675567522805,-0.5042820031570785,0.5488386772437701,vol-managed,HAR-RS-DOW,0.45,0.0,blend_20bps,0.002,0.03387198913289744,0.961703957108424,1.0
