quantile,alpha_nominal,expected_rate,observed_rate,LR_UC,p_UC,LR_ind,p_ind,LR_CC,p_CC
VaR 1% (left tail),0.01,0.01,0.022865853658536585,16.083901709104225,6.05969732093703e-05,0.13210734527683599,0.716256999860631,16.21600905438106,0.0003011191491495424
VaR 5% (left tail),0.05,0.05,0.09603658536585366,46.65738250685706,8.454792421730417e-12,4.230917931779231,0.03969396752071541,50.88830043863629,8.907319326567631e-12
VaR 95% (right tail),0.05,0.05,0.11356707317073171,83.37977021610618,0.0,0.2579477922992055,0.6115335673204443,83.63771800840539,0.0
VaR 99% (right tail),0.01,0.01,0.03048780487804878,35.97948612265532,1.994058473897553e-09,0.04499888552976472,0.8320060778628549,36.02448500818508,1.5044663292940186e-08
