strategy,fee_model,initial,final,total_return,annualized_return,volatility_ann,sharpe,sortino,mdd_pct,calmar,fees_paid,fees_pct,n_trades,scenario_name,capital_level
buy_and_hold,bitvavo_spot,110,240.86685146241697,118.9698649658336,24.19799878359199,46.34963253887988,0.4707920828991253,0.622839364829572,-58.049335601500104,0.4168522952563589,0.165,0.15,1,A: Buy-and-hold,110
pure_har_voltarget,bitvavo_spot,110,116.43000000836615,5.8454545530601365,1.5831662648293054,34.06070210888236,0.046436594163426374,0.06262755808973175,-54.968607579780304,0.02880128012214118,32.93010182322949,29.9364562029359,885,A: Pure HAR vol-target,110
har_voltarget_trend,bitvavo_spot,110,189.5339910203957,72.30362820035971,16.234284110695786,24.151066225293956,0.6272245134511408,0.7102182351689579,-32.22615806007367,0.5037610775827824,36.402226494742145,33.09293317703831,523,A: HAR vol-target + MA50,110
atr_stop_trend,bitvavo_spot,110,215.49682827888302,95.90620752625729,20.434215923219302,27.718049379497245,0.6754570318777473,0.752881426445817,-35.689031887969435,0.5725629091695131,31.619885896135063,28.745350814668242,123,A: ATR-stop + MA50 (current bot),110
pure_trend_ma50,bitvavo_spot,110,311.00845750124466,182.73496136476788,33.29203995895129,31.384466387078508,0.9220043227718479,1.0323839682259848,-34.86989447287622,0.9547502354745504,27.990709366489046,25.446099424080952,73,A: Pure trend MA50,110
mixed_btc_etp,mixed_ab,110,244.4238134289179,122.20346675356173,24.702424837020743,34.76276305473477,0.6394536681690054,0.9024580023611726,-44.46454744321912,0.555553272381003,12.338895354642604,11.217177595129641,466,B: Mix Bitvavo + DeGiro ETP,110
covered_call_overlay,bitvavo_spot,110,361.08730207600115,228.2611837054556,38.90956788180529,30.058489954035778,1.100964040582491,1.5476541990268158,-31.80991364473016,1.2231899877619221,18.908077430125473,17.189161300114066,100,C: Covered-call overlay (theor.),110
buy_and_hold,bitvavo_spot,1000,2189.6986496583363,118.96986496583364,24.19799878359199,46.349632538879895,0.47079208289912217,0.6228393648295683,-58.04933560150012,0.4168522952563588,1.5,0.15,1,A: Buy-and-hold,1000
pure_har_voltarget,bitvavo_spot,1000,1058.4545455305995,5.845454553059959,1.583166264829261,34.06070210888234,0.04643659416342386,0.06262755808972834,-54.96860757978035,0.02880128012214035,299.3645620293591,29.936456202935908,885,A: Pure HAR vol-target,1000
har_voltarget_trend,bitvavo_spot,1000,1723.0362820035966,72.30362820035967,16.23428411069576,24.15106622529398,0.6272245134511433,0.7102182351689607,-32.226158060073686,0.5037610775827817,330.9293317703827,33.09293317703827,523,A: HAR vol-target + MA50,1000
atr_stop_trend,bitvavo_spot,1000,1959.0620752625757,95.90620752625757,20.43421592321937,27.718049379497245,0.6754570318777544,0.7528814264458252,-35.68903188796938,0.5725629091695159,287.4535081466825,28.745350814668253,123,A: ATR-stop + MA50 (current bot),1000
pure_trend_ma50,bitvavo_spot,1000,2827.3496136476783,182.73496136476783,33.29203995895129,31.384466387078525,0.9220043227718474,1.0305694276578115,-34.86989447287618,0.9547502354745513,254.46099424080944,25.44609942408094,73,A: Pure trend MA50,1000
mixed_btc_etp,mixed_ab,1000,2222.03466753562,122.203466753562,24.702424837020786,34.762763054734755,0.6394536681690106,0.9024580023611805,-44.46454744321906,0.5555532723810047,112.17177595129651,11.217177595129652,466,B: Mix Bitvavo + DeGiro ETP,1000
covered_call_overlay,bitvavo_spot,1000,3282.611837054553,228.2611837054553,38.90956788180524,30.05848995403577,1.1009640405824899,1.5476541990268147,-31.809913644730305,1.2231899877619152,171.89161300114068,17.18916130011407,100,C: Covered-call overlay (theor.),1000
buy_and_hold,bitvavo_spot,5000,10948.493248291681,118.96986496583364,24.19799878359199,46.34963253887988,0.47079208289912383,0.6228393648295699,-58.04933560150012,0.4168522952563588,7.5,0.15,1,A: Buy-and-hold,5000
pure_har_voltarget,bitvavo_spot,5000,5292.272727652986,5.845454553059715,1.5831662648291944,34.060702108882346,0.0464365941634244,0.06262755808972904,-54.96860757978044,0.02880128012213909,1496.822810146791,29.93645620293582,885,A: Pure HAR vol-target,5000
har_voltarget_trend,bitvavo_spot,5000,8615.181410018004,72.30362820036007,16.234284110695853,24.15106622529396,0.627224513451145,0.7102182351689621,-32.226158060073615,0.5037610775827854,1654.6466588519168,33.09293317703833,523,A: HAR vol-target + MA50,5000
atr_stop_trend,bitvavo_spot,5000,9795.310376312864,95.90620752625728,20.434215923219302,27.718049379497263,0.6754570318777495,0.7537262315058364,-35.68903188796947,0.5725629091695126,1437.2675407334107,28.745350814668214,123,A: ATR-stop + MA50 (current bot),5000
pure_trend_ma50,bitvavo_spot,5000,14136.748068238421,182.73496136476842,33.29203995895136,31.384466387078508,0.9220043227718472,1.0305694276578101,-34.869894472876126,0.9547502354745547,1272.304971204048,25.44609942408096,73,A: Pure trend MA50,5000
mixed_btc_etp,mixed_ab,5000,11110.173337678094,122.20346675356186,24.702424837020764,34.76276305473476,0.6394536681690091,0.9024580023611776,-44.46454744321907,0.5555532723810042,560.858879756482,11.217177595129641,466,B: Mix Bitvavo + DeGiro ETP,5000
covered_call_overlay,bitvavo_spot,5000,16413.059185272756,228.26118370545512,38.909567881805216,30.05848995403577,1.1009640405824888,1.5476541990268113,-31.80991364473027,1.223189987761916,859.4580650057031,17.189161300114062,100,C: Covered-call overlay (theor.),5000
buy_and_hold,bitvavo_spot,25000,54742.4662414584,118.9698649658336,24.19799878359199,46.349632538879874,0.47079208289912355,0.6228393648295695,-58.04933560150012,0.4168522952563588,37.5,0.15,1,A: Buy-and-hold,25000
pure_har_voltarget,bitvavo_spot,25000,26461.363638264964,5.845454553059848,1.5831662648292388,34.06070210888234,0.04643659416342867,0.06262755808973475,-54.96860757978037,0.028801280122139932,7484.114050733973,29.93645620293589,885,A: Pure HAR vol-target,25000
har_voltarget_trend,bitvavo_spot,25000,43075.907050089874,72.3036282003595,16.23428411069574,24.151066225293967,0.6272245134511417,0.7102182351689594,-32.22615806007373,0.5037610775827802,8273.233294259579,33.09293317703831,523,A: HAR vol-target + MA50,25000
atr_stop_trend,bitvavo_spot,25000,48976.55188156434,95.90620752625736,20.434215923219323,27.718049379497263,0.6754570318777512,0.7528814264458219,-35.68903188796945,0.5725629091695136,7186.337703667063,28.745350814668253,123,A: ATR-stop + MA50 (current bot),25000
pure_trend_ma50,bitvavo_spot,25000,70683.7403411921,182.73496136476837,33.29203995895136,31.384466387078497,0.9220043227718494,1.033525846212687,-34.86989447287616,0.9547502354745538,6361.52485602024,25.44609942408096,73,A: Pure trend MA50,25000
mixed_btc_etp,mixed_ab,25000,55550.866688390364,122.20346675356146,24.702424837020722,34.762763054734755,0.6394536681690077,0.9024580023611757,-44.4645474432191,0.5555532723810028,2804.294398782407,11.217177595129629,466,B: Mix Bitvavo + DeGiro ETP,25000
covered_call_overlay,bitvavo_spot,25000,82065.29592636367,228.26118370545467,38.909567881805174,30.05848995403577,1.1009640405824865,1.5476541990268078,-31.809913644730347,1.2231899877619115,4297.2903250285135,17.18916130011405,100,C: Covered-call overlay (theor.),25000
