series,H_RS,H_RS_se,d_GPH,d_GPH_se,d_GPH_p
|r_d|,0.7103484641972155,0.014208484783250286,0.26830067332662855,0.15553201234927522,0.08451825890115328
log_RV,0.8748783236515915,0.01566710361941809,0.45306375004373484,0.15553201234927522,0.003579819862301381
