,HAR-RS-DOW,HAR-RS-Q-WE-X,HAR-RS-X,HAR-RS-WE,HAR-WE
HAR-RS-DOW,1.0,4.026919429334086e-05,1.831885431791136e-06,8.745474233684547e-08,0.0019361904046546474
HAR-RS-Q-WE-X,4.026919429334086e-05,1.0,0.1629706833087372,0.19243777726194145,0.024915578063585908
HAR-RS-X,1.831885431791136e-06,0.1629706833087372,1.0,0.6321723565316977,0.004971509353404624
HAR-RS-WE,8.745474233684547e-08,0.19243777726194145,0.6321723565316977,1.0,0.0005407589779822253
HAR-WE,0.0019361904046546474,0.024915578063585908,0.004971509353404624,0.0005407589779822253,1.0
